property_name,flat_size,property_price,bathroom,floor,transaction,furnishing
ROF Amaltas,1,20.0,1,0.71,0,2
Raheja Aranya,1,12.8,1,1.0,0,3
M3M MYDEN,1,132.0,1,0.33,0,2
Vatika Lifestyle Homes,1,51.0,2,0.0,1,1
AVL 36 Gurgaon,1,17.5,1,0.6,0,3
MVN Athens Sohna,1,12.8,1,0.21,0,2
Not Given,1,25.1,1,0.0,0,2
OSB Golf Heights,1,23.1,1,0.43,0,2
Global Heights,1,14.5,2,0.43,0,2
RMG Residency,1,19.6,1,0.57,0,3
Emerald Estate,1,85.0,2,0.33,1,0
Kshitij Ramsons,1,12.9,2,0.21,0,2
Ocean Expressway Towers,1,12.6,1,0.2,0,2
Housing Board Haryana Sector 48,1,11.5,1,0.0,0,3
CHD Resortico,1,75.0,1,0.42,0,1
Scarlet Suites,1,38.0,2,0.17,0,1
Central Park 2,1,128.0,1,0.41,1,2
OCUS 24K,1,60.0,1,0.58,1,1
Paras Irene,2,88.0,2,0.29,1,2
The Peaceful Homes,2,121.0,2,1.0,0,2
Emaar Digihomes,2,139.0,2,0.0,0,1
Corona Optus,2,73.6,2,1.0,0,3
Puri Emerald Bay,2,118.0,2,0.0,0,2
Ashiana Mulberry,2,58.0,2,0.41,0,2
Spaze AT4,2,70.0,2,0.33,1,3
Waterfall Residences,2,107.0,2,0.0,0,2
Signature Global The Millennia,2,20.8,2,1.0,0,2
Revanta,2,150.0,2,1.0,0,3
Ashiana Anmol,2,73.2,2,0.0,0,3
Windchants,2,206.0,3,1.0,0,2
IREO Skyon,2,140.0,2,1.0,1,2
Central Park III Cerise Suites,2,70.0,2,0.5,0,2
Not Given,2,150.0,3,0.27,0,2
Godrej Meridien,2,130.0,2,0.0,0,3
Shapoorji Pallonji Joyville Gurgaon,2,75.0,2,0.44,0,3
Sobha City,2,147.0,2,0.11,0,2
Godrej Nature Plus,2,72.5,2,0.0,0,3
Palm Drive,2,114.99999999999999,2,0.06,1,3
The Peaceful Homes,3,160.0,3,1.0,0,2
Conscient Hines Elevate,3,219.0,4,0.0,0,2
Emaar Digihomes,3,238.0,3,0.0,0,1
Corona Optus,3,92.5,3,1.0,0,3
The Crest,3,455.0,4,0.0,0,3
Puri Emerald Bay,3,132.0,3,0.0,0,2
Waterfall Residences,3,212.0,3,0.0,0,2
Gurgaon Floors,3,175.0,2,0.33,0,2
Oyster Grande,3,111.00000000000001,4,1.0,0,2
Emaar Palm Heights,3,110.00000000000001,4,0.17,1,3
DLF The Skycourt,3,152.0,3,0.0,0,2
Revanta,3,210.0,4,1.0,0,3
MGF The Vilas,3,420.0,4,0.0,0,3
Ashiana Anmol,3,112.99999999999999,3,0.0,0,3
Windchants,3,231.99999999999997,4,1.0,0,2
Not Given,3,180.0,3,0.1,1,2
Godrej Meridien,3,190.0,3,0.0,0,3
Shapoorji Pallonji Joyville Gurgaon,3,95.0,3,0.0,0,2
Sanjog Homes,3,180.0,3,0.0,0,3
Sobha City,3,192.0,4,1.0,0,2
Tulip Violet,3,103.0,3,0.14,0,3
Sabharwal Homes,3,190.0,3,0.25,0,1
Godrej Nature Plus,3,84.5,3,0.0,0,3
Central Park Flower Valley Flamingo Floor,3,90.0,2,0.5,0,2
M3M Golf Estate,3,315.0,4,0.0,0,3
The Peaceful Homes,4,217.0,5,1.0,0,2
Godrej Air,4,196.0,4,0.0,0,3
Chintels Serenity,4,189.0,4,0.61,1,2
Conscient Hines Elevate,4,356.0,5,0.0,0,2
Corona Optus,4,138.0,4,1.0,0,3
The Crest,4,500.0,6,0.0,0,3
Pioneer Park,4,210.0,3,0.83,0,3
Park View Grand Spa,4,188.0,5,0.4,1,2
Gurgaon Floors,4,175.0,3,1.0,0,2
Oyster Grande,4,211.0,5,1.0,0,2
Revanta,4,225.99999999999997,4,1.0,0,3
Vipul World,4,130.0,3,0.33,1,1
Windchants,4,398.0,4,1.0,0,2
Spaze Kalistaa,4,220.00000000000003,4,0.55,1,2
Not Given,4,356.0,4,0.09,0,2
ATS Tourmaline,4,198.0,4,0.4,0,2
Central Park Flower Valley,4,171.0,3,0.5,0,2
Godrej Meridien,4,241.0,5,0.2,0,2
Mapsko Casa Bella,4,169.0,4,1.0,0,3
Sanjog Homes,4,300.0,4,0.0,0,3
Sobha City,4,218.00000000000003,5,1.0,0,2
Tulip Violet,4,180.0,4,0.43,0,3
Ireo Victory Valley,4,250.0,4,0.14,1,2
Cedar Floors,4,141.0,4,2.0,0,2
Sabharwal Homes,4,220.00000000000003,4,0.75,0,1
M3M Woodshire,4,137.0,5,0.0,0,2
M3M Golf Estate,4,450.0,5,0.25,1,2
ATS Kocoon,5,335.0,6,1.0,1,2
Tata Raisina Residency,5,426.99999999999994,6,0.95,1,2
Central Park Flower Valley Fleur Villas,5,415.00000000000006,4,0.0,0,1
Park View Grand Spa,5,470.0,6,0.95,1,1
Tulip Ace,5,150.0,5,0.0,0,3
Atharva,5,140.0,4,0.36,1,2
orchid petals,5,300.0,6,1.0,1,2
MGF The Vilas,5,700.0,5,0.27,1,2
