property_name,flat_size,facing,property_price,overlooking,bathroom,balcony,super area,floor,ownership,carpet area,transaction,furnishing
ROF Amaltas,1,North - East,₹ 20 Lac,"Garden/Park, Main Road",1,1.0,None,10 out of 14 floors,Freehold,326 sqft,New Property,Semi-Furnished
Raheja Aranya,1,,₹ 12.8 Lac,,1,,345 sqft,4 out of 4 floors,,None,New Property,Unfurnished
M3M MYDEN,1,East,₹ 1.32 Cr,Garden/Park,1,1.0,900 sqft,4 out of 12 floors,Freehold,None,New Property,Semi-Furnished
Vatika Lifestyle Homes,1,East,₹ 51 Lac,"Garden/Park, Main Road",2,2.0,None,Ground out of 7 floors,Freehold,800 sqft,Resale,Furnished
AVL 36 Gurgaon,1,East,₹ 17.5 Lac,"Garden/Park, Pool, Main Road",1,1.0,None,6 out of 10 floors,Freehold,337 sqft,New Property,Unfurnished
MVN Athens Sohna,1,East,₹ 12.8 Lac,"Garden/Park, Pool, Main Road",1,1.0,None,3 out of 14 floors,Freehold,442 sqft,New Property,Semi-Furnished
Not Given,1,North,₹ 25.1 Lac,"Garden/Park, Main Road",1,,None,Ground out of 4 floors,Freehold,700 sqft,New Property,Semi-Furnished
OSB Golf Heights,1,East,₹ 23.1 Lac,"Garden/Park, Pool, Main Road",1,2.0,None,6 out of 14 floors,Freehold,360 sqft,New Property,Semi-Furnished
Global Heights,1,North - East,₹ 14.5 Lac,"Garden/Park, Pool",2,1.0,None,6 out of 14 floors,Freehold,356 sqft,New Property,Semi-Furnished
RMG Residency,1,East,₹ 19.6 Lac,Garden/Park,1,2.0,None,4 out of 7 floors,Freehold,441 sqft,New Property,Unfurnished
Emerald Estate,1,North - East,₹ 85 Lac,"Garden/Park, Pool, Main Road",2,2.0,None,4 out of 12 floors,Freehold,840 sqft,Resale,
Kshitij Ramsons,1,East,₹ 12.9 Lac,"Garden/Park, Main Road",2,1.0,None,3 out of 14 floors,Freehold,318 sqft,New Property,Semi-Furnished
Ocean Expressway Towers,1,North,₹ 12.6 Lac,Garden/Park,1,2.0,None,2 out of 10 floors,Freehold,376 sqft,New Property,Semi-Furnished
Housing Board Haryana Sector 48,1,North - East,₹ 11.5 Lac,Main Road,1,1.0,None,Ground out of 3 floors,Freehold,355 sqft,New Property,Unfurnished
CHD Resortico,1,East,₹ 75 Lac,"Garden/Park, Pool, Main Road",1,1.0,None,5 out of 12 floors,Freehold,352 sqft,New Property,Furnished
Scarlet Suites,1,North - East,₹ 38 Lac,"Garden/Park, Pool, Main Road",2,1.0,None,4 out of 24 floors,Freehold,480 sqft,New Property,Furnished
Central Park 2,1,North - East,₹ 1.28 Cr,"Garden/Park, Pool, Main Road",1,,None,7 out of 17 floors,Freehold,750 sqft,Resale,Semi-Furnished
OCUS 24K,1,East,₹ 60 Lac,"Garden/Park, Pool, Main Road",1,1.0,None,11 out of 19 floors,Freehold,701 sqft,Resale,Furnished
Paras Irene,2,North,₹ 88 Lac,"Garden/Park, Pool",2,3.0,1420 sqft,4 out of 14 floors,Freehold,None,Resale,Semi-Furnished
The Peaceful Homes,2,,₹ 1.21 Cr,,2,,1565 sqft,30 out of 30 floors,,None,New Property,Semi-Furnished
Emaar Digihomes,2,,₹ 1.39 Cr,,2,,1508 sqft,,,None,New Property,Furnished
Corona Optus,2,,₹ 73.6 Lac,,2,,1402 sqft,14 out of 14 floors,,None,New Property,Unfurnished
Puri Emerald Bay,2,,₹ 1.18 Cr,,2,,1700 sqft,,,None,New Property,Semi-Furnished
Ashiana Mulberry,2,North,₹ 58 Lac,Pool,2,2.0,None,7 out of 17 floors,Freehold,980 sqft,New Property,Semi-Furnished
Spaze AT4,2,North - East,₹ 70 Lac,Garden/Park,2,3.0,None,4 out of 12 floors,Freehold,1150 sqft,Resale,Unfurnished
Waterfall Residences,2,,₹ 1.07 Cr,,2,,1448 sqft,,,None,New Property,Semi-Furnished
Signature Global The Millennia,2,,₹ 20.8 Lac,Garden/Park,2,2.0,None,2 out of 2 floors,Freehold,519 sqft,New Property,Semi-Furnished
Revanta,2,,₹ 1.50 Cr,,2,,1701 sqft,59 out of 59 floors,,None,New Property,Unfurnished
Ashiana Anmol,2,,₹ 73.2 Lac,,2,,1275 sqft,,,None,New Property,Unfurnished
Windchants,2,,₹ 2.06 Cr,,3,,2441 sqft,27 out of 27 floors,,None,New Property,Semi-Furnished
IREO Skyon,2,North - East,₹ 1.40 Cr,"Garden/Park, Pool",2,2.0,1524 sqft,2 out of 2 floors,Freehold,None,Resale,Semi-Furnished
Central Park III Cerise Suites,2,North - East,₹ 70 Lac,"Garden/Park, Pool, Main Road",2,2.0,None,2 out of 4 floors,Freehold,1200 sqft,New Property,Semi-Furnished
Not Given,2,North - East,₹ 1.50 Cr,"Garden/Park, Pool",3,3.0,None,9 out of 33 floors,Freehold,1300 sqft,New Property,Semi-Furnished
Godrej Meridien,2,,₹ 1.30 Cr,,2,,1366 sqft,,,None,New Property,Unfurnished
Shapoorji Pallonji Joyville Gurgaon,2,North - East,₹ 75 Lac,Garden/Park,2,3.0,None,8 out of 18 floors,Freehold,859 sqft,New Property,Unfurnished
Sobha City,2,North - East,₹ 1.47 Cr,Garden/Park,2,2.0,None,2 out of 18 floors,Freehold,1036 sqft,New Property,Semi-Furnished
Godrej Nature Plus,2,,₹ 72.5 Lac,,2,,1385 sqft,,,None,New Property,Unfurnished
Palm Drive,2,North - East,₹ 1.15 Cr,"Garden/Park, Pool, Main Road",2,2.0,None,1 out of 18 floors,Freehold,950 sqft,Resale,Unfurnished
The Peaceful Homes,3,,₹ 1.60 Cr,,3,,2150 sqft,30 out of 30 floors,,None,New Property,Semi-Furnished
Conscient Hines Elevate,3,,₹ 2.19 Cr,,4,,None,,,2095 sqft,New Property,Semi-Furnished
Emaar Digihomes,3,,₹ 2.38 Cr,,3,,2588 sqft,,,None,New Property,Furnished
Corona Optus,3,,₹ 92.5 Lac,,3,,1763 sqft,14 out of 14 floors,,None,New Property,Unfurnished
The Crest,3,,₹ 4.55 Cr,,4,,2686 sqft,,,None,New Property,Unfurnished
Puri Emerald Bay,3,,₹ 1.32 Cr,,3,,1900 sqft,,,None,New Property,Semi-Furnished
Waterfall Residences,3,,₹ 2.12 Cr,,3,,2503 sqft,,,None,New Property,Semi-Furnished
Gurgaon Floors,3,,₹ 1.75 Cr,,2,,1292 sqft,1 out of 3 floors,,None,New Property,Semi-Furnished
Oyster Grande,3,,₹ 1.11 Cr,,4,,1700 sqft,21 out of 21 floors,,None,New Property,Semi-Furnished
Emaar Palm Heights,3,East,₹ 1.10 Cr,"Garden/Park, Pool, Main Road",4,4.0,186 sqm,4 out of 24 floors,Freehold,None,Resale,Unfurnished
DLF The Skycourt,3,,₹ 1.52 Cr,,3,,1902 sqft,,,None,New Property,Semi-Furnished
