,refractive_index,na,mg,al,si,k,ca,ba,fe
0,152,1364,449,110,7178,6,875,0,0
1,151,1389,360,136,7273,48,783,0,0
2,151,1353,355,154,7298,39,778,0,0
3,151,1321,369,129,7261,56,822,0,0
4,151,1327,362,124,7308,55,807,0,0
5,151,1279,361,162,7297,64,807,0,26
6,151,1330,360,113,7309,57,817,0,0
7,151,1315,361,105,7323,56,824,0,0
8,151,1404,358,137,7208,56,830,0,0
9,151,1300,360,136,7298,56,840,0,11
10,151,1272,346,156,7320,67,809,0,24
11,151,1280,366,127,7301,60,856,0,0
12,151,1288,343,140,7328,69,805,0,24
13,151,1286,356,127,7320,54,838,0,17
14,151,1261,359,131,7329,57,850,0,0
15,151,1281,354,123,7323,57,839,0,0
16,151,1268,367,115,7311,61,869,0,0
17,152,1436,385,89,7136,15,915,0,0
18,151,1390,373,118,7212,6,889,0,0
19,151,1302,354,169,7273,54,844,0,7
20,151,1282,355,149,7275,54,852,0,19
21,151,1477,375,28,7202,3,900,0,0
22,151,1278,362,129,7279,59,869,0,0
23,151,1281,357,135,7302,62,859,0,0
24,151,1338,350,114,7284,50,843,0,0
25,151,1298,354,121,7300,65,852,0,0
26,151,1321,348,141,7264,59,843,0,0
27,151,1287,348,133,7304,56,843,0,0
28,151,1256,352,143,7315,56,853,0,0
29,151,1308,349,128,7286,60,849,0,0
30,151,1265,356,130,7308,61,869,0,14
31,151,1284,350,113,7327,56,855,0,0
32,151,1285,348,123,7297,61,856,9,22
33,151,1257,347,138,7339,60,855,0,6
34,151,1269,354,134,7295,56,875,0,0
35,151,1329,345,121,7273,56,857,0,0
36,151,1389,353,132,7181,51,877,11,0
37,151,1274,348,135,7295,64,868,0,0
38,152,1421,382,47,7177,11,957,0,0
39,152,1421,382,47,7177,11,957,0,0
40,151,1279,350,112,7303,64,877,0,0
41,151,1271,342,120,7320,59,864,0,0
42,151,1321,339,133,7276,59,859,0,0
43,152,1373,384,72,7176,17,974,0,0
44,151,1273,343,119,7295,62,876,0,30
45,151,1349,348,135,7195,55,900,0,0
46,151,1319,337,118,7272,56,883,0,16
47,152,1399,370,71,7156,2,982,0,10
48,152,1321,377,79,7198,13,1002,0,0
49,151,1358,335,123,7208,59,891,0,0
50,152,1372,372,51,7175,9,1006,0,16
51,151,1320,333,128,7236,60,914,0,11
52,151,1343,287,119,7284,55,902,0,0
53,151,1314,284,128,7284,55,907,0,0
54,151,1321,281,129,7298,51,902,0,9
55,151,1245,271,129,7370,56,906,0,24
56,151,1299,347,112,7298,62,835,0,31
57,151,1287,348,129,7295,60,843,0,0
58,151,1348,374,117,7298,59,802,0,0
59,151,1339,366,119,7279,56,827,0,11
60,151,1360,362,111,7264,14,876,0,0
61,151,1381,358,132,7172,12,867,69,0
62,152,1351,386,88,7179,23,953,0,11
63,152,1417,381,78,7134,0,969,0,0
64,152,1348,374,90,7201,18,961,0,7
65,152,1369,359,112,7195,9,940,0,0
66,152,1305,365,87,7222,19,985,0,17
67,152,1305,365,87,7231,19,985,0,17
68,152,1312,358,90,7220,23,982,0,16
69,152,1331,358,82,7198,12,1017,0,3
70,151,1486,367,174,7187,16,736,0,12
71,151,1364,387,127,7195,54,832,0,32
72,151,1309,359,152,7309,67,783,0,0
73,151,1334,357,157,7287,61,789,0,0
74,151,1302,356,154,7311,72,790,0,0
75,151,1302,358,151,7312,69,796,0,0
76,151,1344,361,154,7239,66,802,0,0
77,151,1300,358,154,7283,61,803,0,0
78,151,1392,352,125,7288,37,794,0,14
79,151,1282,352,190,7286,69,797,0,0
80,151,1286,352,212,7266,69,797,0,0
81,151,1325,345,143,7317,61,786,0,0
82,151,1341,355,125,7281,68,810,0,0
83,151,1309,352,155,7287,68,805,0,9
84,151,1425,309,208,7228,110,708,0,0
85,151,1336,358,149,7272,45,821,0,0
86,151,1324,349,147,7325,38,802,0,0
87,151,1340,349,152,7265,67,808,0,10
88,151,1301,350,148,7289,60,811,0,0
89,151,1255,348,187,7323,63,808,0,9
90,151,1293,374,111,7228,64,896,0,22
91,151,1290,344,145,7306,44,827,0,0
92,151,1312,341,158,7326,7,839,0,19
93,151,1324,334,147,7309,39,822,0,0
94,151,1271,333,149,7328,67,824,0,0
95,151,1336,343,143,7226,51,860,0,0
96,151,1302,362,106,7234,64,913,0,15
97,151,1220,325,115,7355,62,890,0,24
98,151,1267,288,171,7320,73,853,0,0
99,151,1296,296,143,7292,60,878,14,0
100,151,1275,285,144,7327,56,878,11,22
101,151,1235,272,163,7287,70,923,0,0
102,151,1262,276,83,7381,35,942,0,20
103,152,1380,315,66,7056,8,1164,0,0
104,152,1383,290,117,7115,8,1079,0,0
105,152,1145,0,188,7219,81,1324,0,34
106,153,1073,0,210,6981,57,1330,315,28
107,153,1230,0,100,7016,12,1619,0,24
108,152,1443,0,100,7267,10,1152,0,8
109,151,1372,0,56,7445,0,1099,0,0
110,152,1123,0,77,7320,0,1468,0,0
111,152,1102,0,75,7308,0,1496,0,0
112,152,1264,0,67,7202,6,1440,0,0
113,151,1346,383,126,7255,56,821,0,14
114,151,1310,397,119,7244,60,843,0,0
115,151,1341,389,133,7238,51,827,0,0
116,151,1324,390,141,7233,55,831,0,10
117,151,1372,368,181,7206,64,788,0,0
118,151,1330,364,153,7253,65,802,0,28
119,151,1356,357,147,7245,64,796,0,0
120,151,1325,376,132,7240,57,842,0,0
121,151,1293,354,162,7295,64,802,0,21
122,151,1323,354,148,7284,56,810,0,0
123,151,1348,348,171,7252,62,799,0,0
124,152,1320,368,114,7275,54,852,0,0
125,151,1293,366,156,7251,57,855,0,12
126,151,1294,361,126,7275,56,860,0,0
127,152,1378,227,143,7198,49,985,0,17
128,152,1355,209,167,7218,53,957,27,17
129,152,1398,135,163,7176,39,1056,0,18
130,152,1375,101,136,7219,33,1114,0,0
131,152,1370,0,136,7123,19,1344,0,10
132,151,1343,398,118,7248,57,815,0,0
133,151,1371,393,154,7181,54,821,0,15
134,151,1333,385,125,7278,52,811,0,0
135,151,1319,390,130,7233,55,844,0,28
136,151,1300,380,108,7306,56,838,0,12
137,151,1289,362,157,7295,61,811,0,0
138,151,1279,352,154,7336,66,790,0,0
139,151,1287,356,164,7314,65,799,0,0
140,151,1333,354,161,7254,68,811,0,0
141,151,1320,363,107,7283,56,841,9,17
142,151,1285,351,144,7301,68,823,6,25
143,151,1300,347,179,7272,66,818,0,0
144,151,1299,318,123,7297,57,881,0,24
145,151,1285,367,124,7256,62,868,0,35
146,151,1365,366,111,7277,11,860,0,0
147,151,1333,353,134,7267,56,833,0,0
148,151,1324,357,138,7270,56,844,0,10
149,151,1216,352,135,7289,56,852,0,0
150,151,1314,345,176,7248,60,838,0,17
151,152,1432,390,83,7150,0,949,0,0
152,151,1364,365,65,7300,6,893,0,0
153,151,1342,340,122,7269,59,832,0,0
154,151,1286,358,131,7261,61,878,0,0
155,151,1304,340,126,7301,52,858,0,0
156,151,1341,339,128,7264,52,865,0,0
157,152,1403,376,57,7179,11,965,0,0
158,151,1353,341,152,7204,57,878,0,0
159,151,1350,336,163,7194,56,881,0,9
160,151,1333,334,154,7214,56,899,0,0
161,151,1364,354,75,7265,16,889,15,24
162,152,1419,378,91,7136,23,914,0,37
163,151,1401,268,350,6989,168,587,220,0
164,151,1273,185,186,7269,60,1009,0,0
165,152,1156,188,156,7286,47,1141,0,0
166,152,1103,171,156,7344,57,1162,0,0
167,151,1264,0,165,7375,38,1153,0,0
168,151,1286,0,183,7388,97,1017,0,0
169,151,1327,0,176,7303,47,1132,0,0
170,152,1344,0,158,7222,32,1224,0,0
171,151,1302,0,304,7048,621,696,0,0
172,151,1300,0,302,7070,621,693,0,0
173,152,1338,0,140,7225,33,1250,0,0
174,152,1285,161,217,7218,76,969,24,51
175,152,1297,33,151,7339,13,1127,0,28
176,151,1400,239,156,7237,0,957,0,0
177,151,1379,241,119,7276,0,977,0,0
178,151,1446,224,162,7238,0,926,0,0
179,151,1409,219,166,7267,0,932,0,0
180,151,1440,174,154,7455,0,759,0,0
181,151,1499,78,174,7250,0,994,0,0
182,151,1415,0,209,7273,0,1088,0,0
183,151,1456,0,56,7348,0,1122,0,0
184,151,1738,0,34,7541,0,665,0,0
185,151,1369,320,181,7281,176,543,119,0
186,151,1432,326,222,7125,146,579,163,0
187,152,1344,334,123,7238,60,883,0,0
188,152,1486,220,206,7026,76,976,0,0
189,152,1579,183,131,7043,31,861,168,0
190,151,1388,178,179,7309,0,867,76,0
191,151,1485,0,238,7328,0,876,64,9
192,151,1420,0,279,7345,4,903,40,9
193,151,1475,0,200,7302,0,852,159,8
194,151,1456,0,198,7329,0,852,157,7
195,151,1414,0,268,7339,8,907,61,5
196,151,1387,0,254,7323,14,941,81,1
197,151,1470,0,234,7328,0,894,66,0
198,151,1438,0,266,7309,4,908,64,0
199,151,1501,0,250,7305,5,883,53,0
200,151,1515,0,225,7350,0,834,63,0
201,151,1195,0,119,7518,270,893,0,0
202,151,1485,0,242,7372,0,839,56,0
203,151,1480,0,199,7311,0,827,171,0
204,151,1495,0,227,7330,0,871,67,0
205,151,1495,0,180,7298,0,861,155,0
206,151,1494,0,187,7311,0,867,138,0
207,151,1439,0,182,7286,141,647,288,0
208,151,1437,0,274,7284,0,944,54,0
209,151,1414,0,288,7261,8,918,106,0
210,151,1492,0,199,7306,0,840,159,0
211,152,1436,0,202,7342,0,844,164,0
212,151,1438,0,194,7361,0,848,157,0
213,151,1423,0,208,7336,0,861,167,0
